iter	Passed	Remaining
527	20877	18663
528	20909	18617
529	20941	18570
530	20970	18521
531	20999	18473
532	21031	18426
533	21061	18379
534	21090	18330
535	21123	18285
536	21153	18238
537	21182	18189
538	21216	18146
539	21252	18104
540	21290	18063
541	21329	18023
542	21362	17979
543	21403	17941
544	21453	17910
545	21506	17883
546	21570	17863
547	21639	17848
548	21720	17843
549	21806	17841
550	21892	17840
551	21975	17834
552	22060	17831
553	22138	17823
554	22219	17815
555	22303	17810
556	22392	17809
557	22481	17807
558	22563	17800
559	22640	17789
560	22700	17764
561	22780	17754
562	22857	17741
563	22950	17741
564	23039	17738
565	23121	17729
566	23200	17717
567	23278	17704
568	23356	17692
569	23437	17680
570	23518	17669
571	23608	17665
572	23694	17657
573	23780	17649
574	23866	17640
575	23950	17630
576	24034	17619
577	24119	17610
578	24199	17595
579	24275	17579
580	24363	17570
581	24443	17555
582	24527	17543
583	24603	17525
584	24676	17505
585	24760	17493
586	24847	17482
587	24930	17468
588	25011	17452
589	25090	17435
590	25169	17418
591	25242	17396
592	25314	17374
593	25391	17354
594	25465	17333
595	25540	17312
596	25617	17292
597	25686	17267
598	25757	17243
599	25831	17220
600	25903	17196
601	25973	17172
602	26052	17152
603	26130	17131
604	26201	17106
605	26281	17087
606	26354	17063
607	26421	17035
608	26492	17009
609	26557	16979
610	26624	16950
611	26691	16921
612	26764	16896
613	26833	16869
614	26898	16838
615	26969	16812
616	27037	16783
617	27105	16754
618	27182	16731
619	27257	16706
620	27329	16679
621	27406	16655
622	27478	16628
623	27548	16599
624	27617	16570
625	27694	16546
626	27766	16518
627	27835	16488
628	27912	16463
629	27983	16434
630	28057	16407
631	28137	16383
632	28211	16356
633	28288	16330
634	28362	16302
635	28437	16275
636	28508	16245
637	28576	16214
638	28644	16182
639	28711	16150
640	28780	16118
641	28851	16088
642	28918	16056
643	28987	16024
644	29056	15992
645	29126	15960
646	29195	15929
647	29266	15897
648	29346	15871
649	29432	15848
650	29518	15824
651	29602	15799
652	29680	15771
653	29751	15740
654	29827	15710
655	29891	15675
656	29953	15638
657	30001	15593
658	30050	15549
659	30091	15501
660	30133	15454
661	30172	15405
662	30205	15353
663	30236	15300
664	30271	15249
665	30300	15195
666	30329	15142
667	30360	15089
668	30390	15036
669	30418	14982
670	30444	14927
671	30473	14873
672	30498	14818
673	30525	14764
674	30553	14711
675	30584	14658
676	30613	14605
677	30644	14554
678	30679	14503
679	30714	14453
680	30746	14402
681	30774	14349
682	30805	14297
683	30836	14246
684	30868	14194
685	30895	14141
686	30923	14088
687	30950	14035
688	30978	13983
689	31006	13930
690	31035	13878
691	31060	13824
692	31086	13771
693	31113	13718
694	31140	13666
695	31166	13612
696	31193	13560
697	31219	13507
698	31245	13454
699	31271	13401
700	31298	13349
701	31324	13297
702	31350	13244
703	31378	13193
704	31406	13141
705	31433	13089
706	31458	13037
707	31486	12985
708	31514	12934
709	31545	12884
710	31579	12836
711	31612	12786
712	31644	12737
713	31676	12688
714	31706	12638
715	31734	12587
716	31763	12537
717	31794	12487
718	31825	12438
719	31854	12387
720	31881	12337
721	31909	12286
722	31934	12234
723	31965	12185
724	31992	12135
725	32020	12084
726	32047	12034
727	32073	11983
728	32100	11933
729	32127	11882
730	32155	11832
731	32179	11781
732	32205	11730
733	32231	11680
734	32258	11630
735	32284	11580
736	32310	11530
737	32338	11480
738	32366	11431
739	32393	11381
740	32419	11331
741	32448	11282
742	32477	11233
743	32506	11185
744	32535	11136
745	32564	11087
746	32595	11039
747	32628	10992
748	32657	10943
749	32688	10896
750	32719	10848
751	32750	10800
752	32778	10752
753	32806	10703
754	32837	10655
755	32868	10608
756	32896	10560
757	32926	10512
758	32955	10464
759	32981	10415
760	33009	10367
761	33037	10318
762	33062	10269
763	33088	10221
764	33115	10172
765	33141	10124
766	33166	10075
767	33192	10026
768	33219	9978
769	33247	9930
770	33273	9882
771	33301	9835
772	33330	9787
773	33357	9740
774	33385	9692
775	33414	9645
776	33441	9597
777	33468	9550
778	33498	9503
779	33522	9455
780	33548	9407
781	33573	9359
782	33600	9311
783	33628	9265
784	33658	9218
785	33691	9172
786	33721	9126
787	33752	9080
788	33788	9036
789	33820	8990
790	33850	8943
791	33880	8898
792	33914	8852
793	33945	8806
794	33976	8761
795	34006	8715
796	34035	8669
797	34064	8622
798	34091	8576
799	34119	8529
800	34146	8483
801	34173	8436
802	34200	8390
803	34226	8343
804	34255	8297
805	34280	8251
806	34306	8204
807	34333	8158
808	34359	8112
809	34386	8066
810	34413	8019
811	34442	7974
812	34469	7928
813	34495	7882
814	34523	7836
815	34549	7790
816	34576	7744
817	34602	7698
818	34630	7653
819	34656	7607
820	34683	7561
821	34712	7516
822	34741	7471
823	34773	7427
824	34803	7382
825	34836	7338
826	34871	7294
827	34905	7250
828	34936	7206
829	34968	7162
830	35000	7118
831	35032	7073
832	35062	7029
833	35096	6985
834	35128	6941
835	35160	6897
836	35191	6853
837	35224	6809
838	35255	6765
839	35286	6721
840	35317	6677
841	35348	6633
842	35377	6588
843	35404	6543
844	35430	6499
845	35462	6455
846	35494	6411
847	35527	6368
848	35559	6324
849	35594	6281
850	35629	6238
851	35665	6195
852	35699	6152
853	35732	6108
854	35768	6065
855	35810	6024
856	35862	5984
857	35910	5943
858	35955	5901
859	35996	5859
860	36032	5817
861	36069	5774
862	36106	5731
863	36145	5689
864	36180	5646
865	36218	5604
866	36251	5561
867	36283	5517
868	36314	5474
869	36345	5430
870	36378	5387
871	36413	5345
872	36445	5301
873	36477	5258
874	36510	5215
875	36541	5172
876	36575	5129
877	36603	5086
878	36630	5042
879	36659	4999
880	36689	4955
881	36718	4912
882	36745	4868
883	36778	4826
